Rank,WinPct
1,0.626984126984127
2,0.30158730158730157
3,0.21428571428571427
4,0.1984126984126984
5,0.1349206349206349
6,0.06349206349206349
7,0.047619047619047616
8,0.1111111111111111
9,0.05555555555555555
10,0.06349206349206349
11,0.047619047619047616
12,0.023809523809523808
13,0.015873015873015872
14,0.031746031746031744
15,0.047619047619047616
16,0.09523809523809523
17,0.07936507936507936
18,0.05555555555555555
19,0.047619047619047616
20,0.06349206349206349
21,0.07936507936507936
22,0.05555555555555555
23,0.031746031746031744
24,0.023809523809523808
25,0.04
26,0.08064516129032258
27,0.03225806451612903
28,0.08130081300813008
29,0.04878048780487805
30,0.024390243902439025
31,0.05042016806722689
32,0.03389830508474576
33,0.044642857142857144
34,0.009009009009009009
35,0.037037037037037035
36,0.009523809523809525
37,0.01020408163265306
38,0.031578947368421054
39,0.011363636363636364
40,0.01282051282051282
41,0.017857142857142856
42,0.0196078431372549
43,0.04081632653061224
44,0.0
45,0.021739130434782608
46,0.0
47,0.0
48,0.0
49,0.022222222222222223
50,0.0
51,0.02702702702702703
52,0.02857142857142857
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.041666666666666664
61,0.0
62,0.05555555555555555
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
